device_id,segment_id,start_date,end_date,length_days,start_level,end_level,drop,decay_rate,month,period_stage,eligible_pure_decay,ineligible_reason
a2,15,2025-06-01,2025-07-14,43,81.0414810758938,76.0952830971073,-4.9461979787865005,-0.11502785997177908,6,late,True,
a2,16,2025-07-25,2025-09-30,67,91.9126846996071,71.9981652649232,-19.914519434683896,-0.297231633353491,7,late,True,
a2,17,2025-10-10,2025-12-06,57,82.49868047255445,50.3934753980144,-32.10520507454005,-0.563249211834036,10,late,True,
a2,18,2025-12-14,2025-12-30,16,63.94834353408395,54.52919394080905,-9.419149593274902,-0.5886968495796814,12,late,True,
a2,19,2026-01-01,2026-01-23,22,54.170594991774095,40.7311140600957,-13.439480931678396,-0.6108854968944726,1,late,True,
a2,20,2026-02-02,2026-02-07,5,57.166659522265,54.2644057049326,-2.902253817332401,-0.5804507634664802,2,late,True,
a2,21,2026-02-14,2026-02-18,4,49.07482673173075,46.9296126874029,-2.145214044327851,-0.5363035110819627,2,late,True,
a2,22,2026-02-26,2026-03-06,8,41.5722334963462,38.7921851969476,-2.780048299398601,-0.3475060374248251,2,late,True,
a2,23,2026-03-16,2026-03-29,13,50.8528394047063,46.323527605094654,-4.529311799611648,-0.34840859997012674,3,late,True,
a2,24,2026-03-31,2026-04-10,10,46.5811304444039,41.695720372538105,-4.885410071865792,-0.48854100718657917,3,late,True,
a3,1,2024-04-04,2024-04-29,25,121.42672333056899,115.8835600141895,-5.543163316379491,-0.22172653265517966,4,early,True,
a3,2,2024-05-14,2024-05-25,11,115.907168577761,113.2279146838245,-2.6792538939365045,-0.2435685358124095,5,early,True,
a3,3,2024-06-03,2024-07-14,41,120.60742565793299,117.4853529674895,-3.1220726904434883,-0.07614811440106069,6,early,True,
a3,4,2024-07-22,2024-08-01,10,121.70866955871699,122.12101865999651,0.41234910127951707,,7,early,False,non_continuous_dates
a3,5,2024-08-03,2024-08-16,13,122.97041153592,118.70909307360199,-4.261318462318002,-0.3277937278706155,8,early,True,
a3,6,2024-08-18,2024-09-26,39,116.30875192478649,98.38419396405939,-17.9245579607271,-0.45960405027505385,8,early,True,
a3,7,2024-10-05,2024-10-31,26,102.213356109512,87.04830190458935,-15.165054204922654,-0.5832713155739483,10,early,True,
a3,8,2024-11-02,2024-11-26,24,85.1804665786611,71.5790702418746,-13.601396336786493,-0.5667248473661038,11,early,True,
a3,9,2024-12-04,2025-01-11,38,90.1909012113504,70.1375964468557,-20.053304764494698,-0.527718546434071,12,early,True,
a3,10,2025-01-21,2025-01-30,9,91.72325790985235,86.1842620486676,-5.538995861184745,-0.6154439845760827,1,early,True,
a3,11,2025-02-03,2025-03-01,26,85.5381194274816,71.2333343926086,-14.304785034873007,-0.550184039802808,2,early,True,
a3,12,2025-03-09,2025-03-17,8,87.6242255359353,86.3007908979445,-1.3234346379908004,-0.16542932974885005,3,early,True,
a3,13,2025-03-19,2025-05-02,44,85.74357220103775,76.7497368882519,-8.993835312785848,-0.20440534801786017,3,early,True,
a3,14,2025-05-10,2025-06-28,49,98.87537382630606,92.7332380814331,-6.142135744872959,-0.12534970907904,5,late,True,
a3,15,2025-07-06,2025-08-01,26,101.786716997233,101.935924038818,0.14920704158500087,,7,late,False,non_continuous_dates
a3,16,2025-08-03,2025-09-11,39,101.095266047187,91.0669352286338,-10.0283308185532,-0.25713668765521025,8,late,True,
a3,17,2025-09-19,2025-11-13,55,118.535989289771,84.56136717650695,-33.97462211326405,-0.6177204020593463,9,late,True,
a3,18,2025-11-21,2025-12-20,29,100.008828019152,78.7271067449919,-21.281721274160105,-0.7338524577296588,11,late,True,
a3,19,2025-12-22,2026-01-16,25,78.1535117594965,62.4729401291016,-15.680571630394894,-0.6272228652157957,12,late,True,
a3,20,2026-01-24,2026-02-13,20,85.40178387100744,68.50757369237185,-16.89421017863559,-0.8447105089317795,1,late,True,
a3,21,2026-02-28,2026-04-01,32,75.41692951581875,68.3781983717765,-7.038731144042245,-0.21996034825132016,2,late,True,
a4,1,2024-04-03,2024-04-07,4,49.3839615267757,48.0959845254556,-1.287977001320101,-0.32199425033002527,4,early,True,
a4,2,2024-04-10,2024-04-29,19,47.4763241116727,43.4193469277196,-4.0569771839531015,-0.2135251149449001,4,early,True,
a4,3,2024-05-14,2024-05-24,10,43.10204804757975,39.6913300721458,-3.410717975433947,-0.3410717975433947,5,early,True,
a4,4,2024-06-03,2024-06-25,22,85.9345596257634,80.3118819076943,-5.622677718069099,-0.25557625991223176,6,early,True,
a4,5,2024-07-01,2024-07-12,11,79.7169286935906,80.86446098063635,1.147532287045749,,7,early,False,near_medium_or_major_maintenance
a4,6,2024-07-20,2024-08-09,20,104.8930418185745,104.0800398638185,-0.8130019547560039,-0.04065009773780019,7,early,True,
a4,7,2024-08-12,2024-09-17,36,100.48194652420415,86.96228276516754,-13.519663759036604,-0.3755462155287945,8,early,True,
a4,8,2024-09-25,2024-10-04,9,105.5764427423815,101.386850607823,-4.189592134558495,-0.46551023717316614,9,early,True,
a4,9,2024-10-07,2024-11-16,40,100.582688972819,74.2270219184891,-26.3556670543299,-0.6588916763582475,10,early,True,
a4,10,2024-11-24,2024-11-30,6,87.4588552072719,83.4421169564709,-4.016738250800998,-0.6694563751334996,11,early,True,
a4,11,2024-12-08,2025-01-14,37,81.2387420564877,60.18588095559315,-21.052861100894546,-0.5689962459701229,12,early,True,
a4,12,2025-01-22,2025-01-30,8,97.21980643423615,94.92524310838314,-2.294563325853005,-0.28682041573162564,1,early,True,
a4,13,2025-02-04,2025-02-16,12,94.5884766521369,89.02489293111235,-5.563583721024557,-0.4636319767520464,2,early,True,
a4,14,2025-02-24,2025-03-06,10,109.888410487196,106.4841520964115,-3.4042583907844914,-0.34042583907844914,2,early,True,
a4,15,2025-03-08,2025-04-06,29,105.905890573906,98.3929040119433,-7.512986561962705,-0.259068502136645,3,early,True,
a4,16,2025-04-14,2025-04-23,9,104.10160416992349,102.888662541486,-1.2129416284374912,-0.13477129204861013,4,late,True,
a4,17,2025-05-01,2025-05-31,30,102.788766071645,98.7323962033837,-4.056369868261299,-0.13521232894204332,5,late,True,
a4,18,2025-06-08,2025-08-02,55,109.43666163346299,101.8666023731785,-7.570059260284495,-0.13763744109608173,6,late,True,
a4,19,2025-08-10,2025-08-24,14,125.42724242064651,121.807470029366,-3.619772391280506,-0.2585551708057504,8,late,True,
a4,20,2025-08-26,2025-10-02,37,122.279589543097,103.63209929561799,-18.647490247479013,-0.5039862229048382,8,late,True,
a4,21,2025-10-14,2025-12-05,52,104.0585971428655,77.79171023006874,-26.26688691279675,-0.5051324406307067,10,late,True,
a4,22,2025-12-13,2026-01-02,20,97.84987445586995,86.0266717485416,-11.823202707328349,-0.5911601353664174,12,late,True,
a4,23,2026-01-05,2026-01-17,12,84.7870999718518,79.03550905690535,-5.751590914946448,-0.479299242912204,1,late,True,
a4,24,2026-01-25,2026-02-03,9,107.681484650798,102.604747943573,-5.076736707224995,-0.5640818563583329,1,late,True,
a4,25,2026-02-06,2026-02-12,6,101.208259753278,98.08089191739259,-3.1273678358854085,-0.521227972647568,2,late,True,
a4,26,2026-02-14,2026-02-20,6,97.4008631643229,94.31653913437175,-3.084324029951148,-0.5140540049918579,2,late,True,
a4,27,2026-02-22,2026-03-01,7,93.2988412109133,89.99469305717095,-3.3041481537423465,-0.47202116482033524,2,late,True,
a4,28,2026-03-03,2026-03-08,5,89.58437212419776,88.37191398534385,-1.2124581388539042,-0.24249162777078084,3,late,True,
a4,29,2026-03-21,2026-03-27,6,113.794849355825,111.5835234643535,-2.211325891471489,-0.3685543152452482,3,late,True,
a4,30,2026-03-30,2026-04-10,11,111.15627364864551,108.4909437435065,-2.6653299051390036,-0.24230271864900033,3,late,True,
a5,1,2024-04-03,2024-04-11,8,108.646756756315,107.187786966234,-1.4589697900809995,-0.18237122376012493,4,early,True,
a5,2,2024-04-13,2024-04-29,16,106.722345718703,102.4897988881875,-4.232546830515503,-0.2645341769072189,4,early,True,
a5,3,2024-05-23,2024-06-01,9,115.652176136732,115.5296531527225,-0.12252298400949257,-0.01361366488994362,5,early,True,
a5,4,2024-06-03,2024-07-14,41,114.76688995862551,109.545459713688,-5.221430244937508,-0.12735195719359776,6,early,True,
a5,5,2024-07-22,2024-07-31,9,121.059024026011,118.18397904098,-2.8750449850309963,-0.3194494427812218,7,early,True,
a5,6,2024-08-02,2024-08-14,12,116.64383860085451,116.51732186497401,-0.12651673588050016,-0.010543061323375014,8,early,True,
a5,7,2024-08-16,2024-09-17,32,116.0701217416685,107.343813471098,-8.726308270570499,-0.2726971334553281,8,early,True,
a5,8,2024-09-25,2024-10-09,14,112.061682417775,101.610209874787,-10.451472542988,-0.7465337530705715,9,early,True,
a5,9,2024-10-11,2024-11-06,26,101.455924142967,89.8202844646769,-11.635639678290104,-0.4475246030111579,10,early,True,
a5,10,2024-11-08,2024-11-20,12,89.0288983717438,85.634123089407,-3.394775282336795,-0.2828979401947329,11,early,True,
a5,11,2024-11-28,2025-01-17,50,113.838781861947,88.9533792118882,-24.885402650058793,-0.4977080530011759,11,early,True,
a5,12,2025-01-25,2025-01-30,5,116.8560447295845,114.5089272186575,-2.347117510926992,-0.4694235021853984,1,early,True,
a5,13,2025-02-04,2025-02-13,9,113.120307090099,107.884785352427,-5.235521737672002,-0.5817246375191113,2,early,True,
a5,14,2025-02-15,2025-02-21,6,107.36186153975,102.6994799937165,-4.662381546033501,-0.7770635910055835,2,early,True,
a5,15,2025-03-01,2025-04-07,37,108.6840717342345,98.6271828219581,-10.056888912276392,-0.2718078084399025,3,early,True,
a5,16,2025-04-19,2025-06-10,52,103.068050261216,87.9734414470806,-15.094608814135398,-0.290280938733373,4,late,True,
a5,17,2025-06-18,2025-08-15,58,105.754583111811,96.71415466687635,-9.040428444934648,-0.1558694559471491,6,late,True,
a5,18,2025-08-23,2025-10-05,43,100.412319910868,76.7257405576433,-23.6865793532247,-0.5508506826331326,8,late,True,
