device_id,year,n_major_before_cap,n_major_after_cap,n_major_downgraded_to_medium,cap_rule
a5,2041,0,0,0,0_to_4_major_per_year
a5,2044,1,1,0,0_to_4_major_per_year
a5,2043,0,0,0,0_to_4_major_per_year
a5,2046,1,1,0,0_to_4_major_per_year
a5,2045,0,0,0,0_to_4_major_per_year
a6,2045,1,1,0,0_to_4_major_per_year
a6,2044,1,1,0,0_to_4_major_per_year
a6,2047,1,1,0,0_to_4_major_per_year
a6,2046,1,1,0,0_to_4_major_per_year
a6,2037,1,1,0,0_to_4_major_per_year
a6,2036,1,1,0,0_to_4_major_per_year
a6,2035,1,1,0,0_to_4_major_per_year
a6,2034,2,2,0,0_to_4_major_per_year
a6,2033,1,1,0,0_to_4_major_per_year
a6,2032,1,1,0,0_to_4_major_per_year
a6,2063,1,1,0,0_to_4_major_per_year
a6,2062,2,2,0,0_to_4_major_per_year
a6,2061,1,1,0,0_to_4_major_per_year
a6,2060,1,1,0,0_to_4_major_per_year
a6,2043,2,2,0,0_to_4_major_per_year
a6,2042,1,1,0,0_to_4_major_per_year
a6,2041,1,1,0,0_to_4_major_per_year
a6,2040,1,1,0,0_to_4_major_per_year
a6,2039,1,1,0,0_to_4_major_per_year
a6,2038,1,1,0,0_to_4_major_per_year
a6,2027,1,1,0,0_to_4_major_per_year
a6,2026,1,1,0,0_to_4_major_per_year
a6,2030,1,1,0,0_to_4_major_per_year
a6,2031,1,1,0,0_to_4_major_per_year
a6,2029,1,1,0,0_to_4_major_per_year
a6,2028,1,1,0,0_to_4_major_per_year
a6,2048,1,1,0,0_to_4_major_per_year
a6,2049,1,1,0,0_to_4_major_per_year
a6,2050,1,1,0,0_to_4_major_per_year
a6,2051,1,1,0,0_to_4_major_per_year
a6,2052,1,1,0,0_to_4_major_per_year
a6,2053,2,2,0,0_to_4_major_per_year
a6,2054,1,1,0,0_to_4_major_per_year
a6,2055,1,1,0,0_to_4_major_per_year
a6,2056,1,1,0,0_to_4_major_per_year
a6,2057,1,1,0,0_to_4_major_per_year
a6,2058,1,1,0,0_to_4_major_per_year
a6,2059,1,1,0,0_to_4_major_per_year
a6,2076,0,0,0,0_to_4_major_per_year
a6,2073,1,1,0,0_to_4_major_per_year
a6,2074,1,1,0,0_to_4_major_per_year
a6,2075,1,1,0,0_to_4_major_per_year
a6,2067,1,1,0,0_to_4_major_per_year
a6,2066,1,1,0,0_to_4_major_per_year
a6,2065,1,1,0,0_to_4_major_per_year
a6,2068,1,1,0,0_to_4_major_per_year
a6,2072,2,2,0,0_to_4_major_per_year
a6,2069,1,1,0,0_to_4_major_per_year
a6,2070,1,1,0,0_to_4_major_per_year
a6,2071,1,1,0,0_to_4_major_per_year
a6,2064,1,1,0,0_to_4_major_per_year
a7,2043,1,1,0,0_to_4_major_per_year
a7,2042,1,1,0,0_to_4_major_per_year
a7,2041,1,1,0,0_to_4_major_per_year
a7,2044,1,1,0,0_to_4_major_per_year
a7,2027,1,1,0,0_to_4_major_per_year
a7,2026,1,1,0,0_to_4_major_per_year
a7,2028,1,1,0,0_to_4_major_per_year
a7,2060,1,1,0,0_to_4_major_per_year
a7,2059,1,1,0,0_to_4_major_per_year
a7,2058,1,1,0,0_to_4_major_per_year
a7,2057,1,1,0,0_to_4_major_per_year
a7,2056,1,1,0,0_to_4_major_per_year
a7,2055,1,1,0,0_to_4_major_per_year
a7,2054,1,1,0,0_to_4_major_per_year
a7,2053,1,1,0,0_to_4_major_per_year
a7,2052,1,1,0,0_to_4_major_per_year
a7,2051,1,1,0,0_to_4_major_per_year
a7,2050,1,1,0,0_to_4_major_per_year
a7,2049,1,1,0,0_to_4_major_per_year
a7,2048,1,1,0,0_to_4_major_per_year
a7,2047,1,1,0,0_to_4_major_per_year
a7,2046,1,1,0,0_to_4_major_per_year
a7,2045,1,1,0,0_to_4_major_per_year
a7,2076,0,0,0,0_to_4_major_per_year
a7,2075,1,1,0,0_to_4_major_per_year
a7,2074,1,1,0,0_to_4_major_per_year
a7,2073,1,1,0,0_to_4_major_per_year
a7,2040,1,1,0,0_to_4_major_per_year
a7,2039,1,1,0,0_to_4_major_per_year
a7,2038,1,1,0,0_to_4_major_per_year
a7,2037,1,1,0,0_to_4_major_per_year
a7,2036,1,1,0,0_to_4_major_per_year
a7,2035,1,1,0,0_to_4_major_per_year
a7,2034,1,1,0,0_to_4_major_per_year
a7,2033,1,1,0,0_to_4_major_per_year
a7,2032,1,1,0,0_to_4_major_per_year
a7,2031,1,1,0,0_to_4_major_per_year
a7,2030,1,1,0,0_to_4_major_per_year
a7,2029,1,1,0,0_to_4_major_per_year
a7,2061,1,1,0,0_to_4_major_per_year
a7,2062,2,2,0,0_to_4_major_per_year
a7,2063,0,0,0,0_to_4_major_per_year
a7,2064,2,2,0,0_to_4_major_per_year
a7,2065,1,1,0,0_to_4_major_per_year
a7,2066,1,1,0,0_to_4_major_per_year
a7,2067,1,1,0,0_to_4_major_per_year
a7,2068,1,1,0,0_to_4_major_per_year
a7,2069,1,1,0,0_to_4_major_per_year
a7,2070,1,1,0,0_to_4_major_per_year
a7,2071,1,1,0,0_to_4_major_per_year
a7,2072,1,1,0,0_to_4_major_per_year
a8,2035,0,0,0,0_to_4_major_per_year
a8,2036,0,0,0,0_to_4_major_per_year
a8,2037,0,0,0,0_to_4_major_per_year
a8,2038,0,0,0,0_to_4_major_per_year
a8,2039,0,0,0,0_to_4_major_per_year
a8,2040,0,0,0,0_to_4_major_per_year
a8,2041,0,0,0,0_to_4_major_per_year
a8,2042,0,0,0,0_to_4_major_per_year
a8,2043,0,0,0,0_to_4_major_per_year
a8,2044,0,0,0,0_to_4_major_per_year
a8,2045,0,0,0,0_to_4_major_per_year
a8,2046,0,0,0,0_to_4_major_per_year
a8,2047,0,0,0,0_to_4_major_per_year
a8,2048,0,0,0,0_to_4_major_per_year
a8,2049,0,0,0,0_to_4_major_per_year
a8,2050,0,0,0,0_to_4_major_per_year
a8,2051,0,0,0,0_to_4_major_per_year
a8,2052,0,0,0,0_to_4_major_per_year
a8,2053,0,0,0,0_to_4_major_per_year
a8,2054,0,0,0,0_to_4_major_per_year
a8,2055,0,0,0,0_to_4_major_per_year
a8,2056,0,0,0,0_to_4_major_per_year
a8,2057,0,0,0,0_to_4_major_per_year
a8,2058,0,0,0,0_to_4_major_per_year
a8,2059,0,0,0,0_to_4_major_per_year
a8,2060,0,0,0,0_to_4_major_per_year
a8,2061,0,0,0,0_to_4_major_per_year
a8,2062,0,0,0,0_to_4_major_per_year
a8,2063,0,0,0,0_to_4_major_per_year
a8,2064,0,0,0,0_to_4_major_per_year
a8,2065,0,0,0,0_to_4_major_per_year
a8,2066,0,0,0,0_to_4_major_per_year
a8,2076,0,0,0,0_to_4_major_per_year
a8,2075,0,0,0,0_to_4_major_per_year
a8,2069,0,0,0,0_to_4_major_per_year
a8,2070,0,0,0,0_to_4_major_per_year
a8,2071,0,0,0,0_to_4_major_per_year
a8,2072,0,0,0,0_to_4_major_per_year
a8,2073,0,0,0,0_to_4_major_per_year
a8,2074,0,0,0,0_to_4_major_per_year
a8,2068,0,0,0,0_to_4_major_per_year
a8,2067,0,0,0,0_to_4_major_per_year
a8,2032,0,0,0,0_to_4_major_per_year
a8,2031,0,0,0,0_to_4_major_per_year
a8,2030,0,0,0,0_to_4_major_per_year
a8,2029,0,0,0,0_to_4_major_per_year
a8,2028,0,0,0,0_to_4_major_per_year
a8,2027,0,0,0,0_to_4_major_per_year
a8,2026,0,0,0,0_to_4_major_per_year
a8,2033,0,0,0,0_to_4_major_per_year
a8,2034,0,0,0,0_to_4_major_per_year
a9,2034,1,1,0,0_to_4_major_per_year
a9,2036,1,1,0,0_to_4_major_per_year
a9,2037,1,1,0,0_to_4_major_per_year
a9,2038,1,1,0,0_to_4_major_per_year
a9,2035,1,1,0,0_to_4_major_per_year
a9,2032,1,1,0,0_to_4_major_per_year
a9,2033,1,1,0,0_to_4_major_per_year
a9,2027,1,1,0,0_to_4_major_per_year
a9,2026,1,1,0,0_to_4_major_per_year
a9,2030,1,1,0,0_to_4_major_per_year
a9,2031,1,1,0,0_to_4_major_per_year
a9,2029,1,1,0,0_to_4_major_per_year
a9,2028,1,1,0,0_to_4_major_per_year
a9,2076,0,0,0,0_to_4_major_per_year
a9,2073,1,1,0,0_to_4_major_per_year
a9,2074,1,1,0,0_to_4_major_per_year
a9,2075,1,1,0,0_to_4_major_per_year
a9,2072,1,1,0,0_to_4_major_per_year
a9,2069,1,1,0,0_to_4_major_per_year
a9,2070,1,1,0,0_to_4_major_per_year
a9,2071,1,1,0,0_to_4_major_per_year
a9,2067,1,1,0,0_to_4_major_per_year
a9,2066,1,1,0,0_to_4_major_per_year
a9,2065,1,1,0,0_to_4_major_per_year
a9,2068,1,1,0,0_to_4_major_per_year
a9,2064,1,1,0,0_to_4_major_per_year
a9,2050,1,1,0,0_to_4_major_per_year
a9,2049,1,1,0,0_to_4_major_per_year
a9,2048,1,1,0,0_to_4_major_per_year
a9,2063,1,1,0,0_to_4_major_per_year
a9,2062,1,1,0,0_to_4_major_per_year
a9,2061,1,1,0,0_to_4_major_per_year
a9,2060,1,1,0,0_to_4_major_per_year
a9,2059,1,1,0,0_to_4_major_per_year
a9,2058,1,1,0,0_to_4_major_per_year
a9,2057,1,1,0,0_to_4_major_per_year
a9,2056,1,1,0,0_to_4_major_per_year
a9,2055,1,1,0,0_to_4_major_per_year
a9,2054,1,1,0,0_to_4_major_per_year
a9,2053,1,1,0,0_to_4_major_per_year
a9,2052,1,1,0,0_to_4_major_per_year
a9,2051,1,1,0,0_to_4_major_per_year
a9,2045,1,1,0,0_to_4_major_per_year
a9,2046,1,1,0,0_to_4_major_per_year
a9,2047,1,1,0,0_to_4_major_per_year
a9,2040,1,1,0,0_to_4_major_per_year
a9,2041,1,1,0,0_to_4_major_per_year
a9,2042,1,1,0,0_to_4_major_per_year
a9,2043,1,1,0,0_to_4_major_per_year
a9,2044,1,1,0,0_to_4_major_per_year
a9,2039,1,1,0,0_to_4_major_per_year
a10,2067,2,2,0,0_to_4_major_per_year
a10,2066,1,1,0,0_to_4_major_per_year
a10,2061,2,2,0,0_to_4_major_per_year
a10,2062,1,1,0,0_to_4_major_per_year
a10,2063,2,2,0,0_to_4_major_per_year
a10,2064,1,1,0,0_to_4_major_per_year
a10,2065,2,2,0,0_to_4_major_per_year
a10,2027,2,2,0,0_to_4_major_per_year
a10,2026,1,1,0,0_to_4_major_per_year
a10,2028,1,1,0,0_to_4_major_per_year
a10,2044,2,2,0,0_to_4_major_per_year
a10,2043,1,1,0,0_to_4_major_per_year
a10,2042,2,2,0,0_to_4_major_per_year
a10,2041,1,1,0,0_to_4_major_per_year
a10,2040,2,2,0,0_to_4_major_per_year
a10,2039,1,1,0,0_to_4_major_per_year
a10,2038,2,2,0,0_to_4_major_per_year
a10,2068,1,1,0,0_to_4_major_per_year
a10,2069,2,2,0,0_to_4_major_per_year
a10,2070,1,1,0,0_to_4_major_per_year
a10,2071,2,2,0,0_to_4_major_per_year
a10,2072,1,1,0,0_to_4_major_per_year
a10,2073,2,2,0,0_to_4_major_per_year
a10,2074,1,1,0,0_to_4_major_per_year
a10,2075,1,1,0,0_to_4_major_per_year
a10,2076,1,1,0,0_to_4_major_per_year
a10,2029,2,2,0,0_to_4_major_per_year
